연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
떡갈고무나무,680,"3,820",5.4,90.5,0.83%,2.52%,높음,8
플라스틱화분,810,"3,650",19.5,115.2,2.45%,3.64%,높음,8
회양목,"1,140","3,280",6.1,81.2,0.54%,2.72%,높음,10
다육이화분,630,"3,660",7.5,127.5,1.23%,4.24%,높음,8
상토,"1,360","2,880",8,67.7,0.61%,2.6%,높음,8
화분쇼핑몰,450,"3,750",16.6,194,3.69%,6.44%,높음,10
고압분사기,840,"3,340",10.3,67.8,1.31%,2.5%,높음,8
모종,"1,210","2,940",12,33,1.02%,1.23%,높음,8
맥반석,660,"3,400",3.1,37.5,0.47%,1.18%,높음,8
동력분무기,980,"3,020",13.9,118.3,1.44%,4.31%,높음,10
어수리나물,170,"3,790",3.2,242.5,1.84%,7.02%,높음,9
펄라이트,900,"3,050",10.3,87.1,1.19%,3.09%,높음,8
돌맹이,760,"3,190",1,11.8,0.13%,0.39%,중간,7
퇴비,900,"3,020",3,18.5,0.36%,0.72%,높음,8
인테리어소품샵,530,"3,360",51.4,204.9,9.73%,7%,높음,7
비료,"1,310","2,440",4.8,21.8,0.37%,1%,높음,8
자갈,990,"2,760",22,69.8,2.25%,2.75%,높음,8
원목거실장,510,"3,220",16.9,125.8,3.39%,4.29%,높음,8
화분배달,790,"2,920",39.1,180.9,4.94%,6.7%,높음,10
양귀비꽃,250,"3,450",1.8,124.8,0.71%,4.07%,중간,7
맨드라미,450,"3,250",1,53.1,0.22%,1.76%,높음,7
플로리스트자격증,580,"3,080",10.4,104.8,1.79%,3.58%,높음,10
뿌리발근제,360,"3,250",8.8,122.6,2.68%,4.61%,높음,8
수입가구,740,"2,840",56.9,221.9,8%,8.77%,높음,10
욕실용품,760,"2,810",12.4,62.3,1.64%,2.36%,높음,8
애완돌,470,"3,080",5.8,53.8,1.24%,1.98%,높음,8
스파트필름,430,"3,090",2.9,77,0.68%,2.72%,높음,8
배양토,890,"2,590",9.3,58.1,1.08%,2.47%,높음,8
원예,"1,020","2,450",4,10.5,0.41%,0.46%,높음,10
꽃화분,490,"2,970",5.9,35.6,1.21%,1.4%,높음,8
고압분무기,720,"2,700",14.1,69.8,2.05%,2.94%,높음,8
나뚜찌소파,350,"3,000",3.3,74.3,0.97%,2.69%,중간,5
발근제,340,"2,990",4.3,123,1.32%,4.41%,높음,8
로즈마리키우기,320,"2,990",1.4,44.6,0.47%,1.65%,높음,10
생활용품,920,"2,340",5.9,12.9,0.65%,0.65%,높음,10
제라늄키우기,170,"2,910",1.6,79.6,0.92%,2.92%,높음,10
농약살포기,510,"2,570",17.6,113,3.58%,5.2%,높음,8
관엽식물종류,240,"2,790",4,48.6,1.68%,1.84%,높음,10
크루시아,380,"2,610",2.6,71,0.68%,2.87%,높음,10
미네랄영양제,310,"2,620",5,68.3,1.63%,2.74%,높음,8
가슴장화,680,"2,240",12.5,61.8,1.86%,3.19%,높음,8
골재,"1,200","1,680",10.3,18.6,0.93%,1.23%,높음,10
화분정리대,300,"2,580",4,85.4,1.35%,3.79%,높음,8
식물지지대,350,"2,520",1.4,47.3,0.4%,2.44%,높음,8
조리개,690,"2,180",0.5,4.8,0.08%,0.25%,높음,8
개업식화분,310,"2,550",9.3,103.5,3%,4.48%,높음,10
드라코,400,"2,400",4.4,63.3,1.13%,3%,높음,8
다육이키우는법,190,"2,600",2.3,101.4,1.2%,4.22%,높음,10
거실TV장,460,"2,310",12.5,112.1,2.91%,5.73%,높음,8
종자,690,"2,040",5.4,10,0.82%,0.53%,높음,8
책상겸테이블,360,"2,340",9.3,89.1,2.75%,4.03%,높음,10
자동분무기,510,"2,120",6.6,65,1.29%,3.32%,높음,8
센스있는집들이선물,500,"2,120",4.3,13.4,0.86%,0.84%,높음,10
셀레늄영양제,320,"2,290",4.5,53.3,1.42%,2.49%,높음,8
화분거치대,300,"2,300",5.1,66.2,1.71%,3.42%,높음,8
집들이화분,240,"2,360",2.6,40.9,1.09%,2.09%,높음,8
물뿌리개,660,"1,900",3.8,42.1,0.59%,2.48%,높음,8
화분선물,450,"2,050",15.1,73,3.39%,4.19%,높음,10
비타민추천,530,"1,970",2.4,20.4,0.45%,1.09%,높음,10
질석,500,"1,960",5.4,88.3,1.08%,4.67%,높음,8
카페개업선물,250,"2,210",0.8,14.6,0.32%,0.84%,높음,10
농약사,360,"2,100",2.7,20,0.77%,1.15%,중간,8
커피박,740,"1,710",6.1,20.3,0.83%,1.27%,높음,8
행잉화분,360,"2,070",5,47.9,1.4%,2.88%,높음,8
무스카리,300,"2,120",1.3,57.5,0.44%,3.02%,높음,10
엑티브,390,"2,020",0.6,14,0.17%,0.74%,높음,8
다이소화분받침대,220,"2,180",4.1,56.3,1.9%,3.19%,중간,7
여름꽃,290,"2,110",1.4,20.3,0.48%,1.04%,높음,10
화분다이,190,"2,200",1.1,37.3,0.58%,1.95%,높음,8
화분받침,430,"1,940",5.3,41.2,1.23%,2.44%,높음,8
인테리어식물,340,"1,960",8.3,56,2.39%,3.06%,높음,8
파쇄석,940,"1,350",11.9,29,1.32%,2.49%,높음,8
꽃케이크,270,"2,010",1.1,18.3,0.42%,1.06%,높음,10
식물등스탠드,290,"1,980",4.8,71.1,1.67%,3.94%,높음,10
바이오차,"1,020","1,220",3.8,17.8,0.38%,1.58%,높음,8
다육,220,"2,010",3.1,46.5,1.46%,2.52%,높음,10
탄저병,320,"1,900",0.1,4.8,0.04%,0.27%,높음,10
마사,400,"1,790",1.1,4.3,0.29%,0.27%,높음,10
콘솔장식장,160,"2,030",2.6,67.1,1.61%,3.73%,높음,10
블루베리화분,420,"1,700",13.3,91.9,3.25%,6.3%,높음,10
남자종합영양제,300,"1,800",6.1,60.3,2.12%,3.68%,높음,8
개업화분문구,590,"1,500",3.4,23.4,0.58%,1.57%,높음,10
화분영양제,360,"1,730",3.1,63.5,0.88%,4.01%,높음,8
산마늘,240,"1,810",0.3,16.8,0.11%,1.04%,높음,8
루톤,430,"1,610",3.8,20.5,0.89%,1.36%,높음,8
딸기모종,400,"1,630",4.9,45.5,1.27%,3%,높음,8
생수2리터,410,"1,620",1.9,26,0.45%,1.66%,높음,8
기계유제,350,"1,640",5.3,63.5,1.52%,4.28%,중간,7
미세먼지정화식물,110,"1,870",0.5,14.3,0.52%,0.91%,높음,8
난석,350,"1,620",4.1,40.9,1.18%,2.83%,높음,8
석회고토,430,"1,540",4.9,33.1,1.17%,2.32%,중간,7
충전전지가위,290,"1,660",7.7,89.8,2.65%,5.94%,높음,10
상인농자재,700,"1,240",43.5,107.5,6.5%,9.03%,중간,4
분갈이,450,"1,480",2.4,9.6,0.54%,0.71%,높음,10
금전수화분,220,"1,710",6,56.8,2.7%,3.37%,높음,10
실내화분,270,"1,660",2.5,26.3,0.94%,1.86%,높음,8
화분받침대바퀴,220,"1,710",4.8,39.6,2.1%,2.61%,높음,8
PP로프,"1,070",850,15.6,17.5,1.46%,2.12%,높음,8
포인세티아키우기,160,"1,740",2,15,1.25%,0.88%,중간,6
가드닝,530,"1,370",2.6,8.5,0.52%,0.72%,높음,8
저면관수화분,300,"1,580",2.5,18.9,0.82%,1.45%,높음,8
구근식물,260,"1,620",4.9,44,1.92%,2.93%,높음,8
중사,220,"1,650",0.3,1.3,0.15%,0.09%,높음,9
벽장식,210,"1,650",2.9,24.5,1.35%,1.76%,높음,8
샤스타데이지,370,"1,490",2.5,28,0.71%,2.04%,높음,8
예쁜화분,240,"1,600",4.1,45.5,1.71%,3.32%,높음,8
개업화분배달,220,"1,620",13.2,115.6,6.03%,7.7%,높음,10
거실화분인테리어,140,"1,670",3.6,39.4,2.52%,3.04%,높음,8
하이시티팜,290,"1,520",6.5,10.6,2.25%,0.81%,중간,3
거실대형화분,130,"1,660",3.8,49.2,2.87%,3.79%,높음,8
개업문구,340,"1,440",1.2,31.8,0.35%,2.22%,높음,10
화분커버,230,"1,510",2.6,37.8,1.18%,3.31%,높음,8
고추씨앗,260,"1,470",11.3,88.3,4.35%,6.13%,높음,8
종합비타민순위,270,"1,450",3,33.5,1.09%,2.31%,높음,8
복합비료,400,"1,310",4.3,27.3,1.08%,2.33%,높음,8
생석회,500,"1,200",5.9,27.5,1.18%,2.39%,높음,8
충전식분무기,390,"1,310",4.1,39.4,1.05%,3.33%,높음,10
친환경제품,510,"1,190",7.3,17.8,1.43%,1.62%,높음,8
빈티지화분,210,"1,480",2.1,27.2,1.04%,2.25%,높음,8
물호수,320,"1,370",3.5,27,1.11%,2.49%,높음,8
상토흙,230,"1,450",5,70.4,2.23%,5.21%,높음,10
실내화초,120,"1,560",3.8,46.8,3.24%,3.21%,높음,8
수선화구근,230,"1,450",7,46.8,3.19%,3.67%,높음,10
원목화분받침대,190,"1,490",3.9,53.3,2.06%,4.44%,높음,8
나무화분,460,"1,210",5.6,20.4,1.23%,2.05%,높음,8
유기질비료,400,"1,270",4.6,32.5,1.17%,2.72%,높음,8
식물선반,270,"1,400",3.9,33.1,1.45%,2.75%,높음,8
콤팩타,320,"1,330",7.1,37,2.26%,2.95%,높음,10
미니콘솔,120,"1,530",3.4,70.2,2.89%,5.24%,높음,10
고추모종,360,"1,280",2,21.8,0.6%,1.84%,높음,8
밑거름,480,"1,160",0,3,-,0.27%,높음,8
부엽토,370,"1,240",2.6,20.3,0.73%,1.84%,높음,8
황토흙,190,"1,420",5.3,75.6,2.92%,6.27%,높음,10
여성종합비타민,210,"1,400",2.5,24.5,1.18%,1.8%,높음,8
토사,450,"1,150",0,2.3,-,0.21%,높음,10
적옥토,300,"1,290",2.4,39.1,0.81%,3.35%,높음,8
질산칼슘,320,"1,250",7,69.5,2.3%,6.13%,높음,8
어항바닥재,210,"1,360",2.9,31,1.37%,2.66%,높음,8
상추모종,390,"1,170",7.9,37.8,2.05%,3.71%,높음,8
어분골드,250,"1,300",11.4,106.7,4.54%,9.02%,중간,5
다이소식물영양제,240,"1,300",1.6,14.9,0.66%,1.22%,중간,6
방울토마토키우기,230,"1,290",0.7,17,0.3%,1.42%,높음,10
화분진열대,170,"1,350",3.9,31,2.22%,2.64%,높음,8
화분종류,160,"1,340",4,33.8,2.47%,2.67%,높음,10
부스터샷,220,"1,280",1.6,12.5,0.73%,1.04%,높음,8
슬릿화분,270,"1,230",5.8,44.1,2.21%,4.14%,높음,8
유실수,360,"1,130",6.3,9.3,1.82%,0.91%,높음,10
원예용상토,260,"1,210",4.3,32.8,1.65%,3.05%,높음,8
석회고토비료,180,"1,290",3.2,60.8,1.91%,5.16%,높음,10
전지가위추천,160,"1,300",6,81.4,3.78%,6.52%,높음,10
디월트전기톱,250,"1,200",3.2,49.8,1.26%,4.7%,높음,8
펌리빙,270,"1,180",11.2,116,4.12%,10.15%,높음,10
다육이흙,130,"1,310",3.3,72.3,2.49%,6.47%,높음,8
축하화분배달,190,"1,250",11.3,84.8,5.86%,6.81%,높음,10
닥터조,300,"1,140",0.6,6.5,0.22%,0.62%,중간,6
LED응원봉,180,"1,240",4.4,23,2.41%,2.15%,높음,8
수박무,160,"1,260",2,35.6,1.23%,3.04%,중간,7
유박,390,"1,020",1.5,23,0.4%,2.42%,높음,8
토양수분측정기,150,"1,250",2.5,19.5,1.68%,1.62%,높음,8
오메가3젤리,220,"1,170",1.4,14.3,0.63%,1.26%,높음,8
전호,170,"1,220",5,51.4,2.95%,4.53%,낮음,2
땅두릅모종,170,"1,220",4.1,92.3,2.68%,8.57%,높음,10
콘솔테이블,280,"1,100",2.3,21.3,0.83%,2.15%,높음,8
산도조절제,220,"1,150",1.2,10.4,0.55%,0.94%,높음,10
나은모종,190,"1,180",23.3,3.2,12.5%,0.3%,중간,1
벽면인테리어,240,"1,130",4,23.6,1.65%,2.25%,높음,10
화분흙,260,"1,090",2.4,33.5,0.91%,3.41%,높음,8
노인영양제,260,"1,080",1.5,16.3,0.6%,1.62%,높음,8
히카마씨앗,90,"1,230",3.6,100.5,4.27%,8.51%,높음,10
제충국,150,"1,160",1.5,5.5,1.02%,0.54%,높음,10
목화씨,170,"1,140",2.2,36.7,1.25%,3.5%,중간,4
황산마그네슘,350,940,4.3,29.8,1.24%,3.25%,높음,8
쇄석,570,700,2.9,6.8,0.5%,1.01%,높음,8
아스틸베,260,"1,010",0.6,13.8,0.24%,1.46%,높음,8
원예치료사,260,"1,000",4,47.4,1.56%,4.85%,높음,10
곡갱이,250,"1,000",1.6,13.5,0.63%,1.44%,높음,8
사무실화분,430,810,5.6,12.6,1.32%,1.77%,높음,8
이케아화분선반,110,"1,130",1.9,43.3,1.76%,4.1%,높음,8
정원꾸미기,250,980,4.6,41.4,1.93%,5.21%,높음,10
하이포넥스,270,960,4.9,28.3,1.86%,3.07%,높음,8
규산질비료,240,980,1.3,31.5,0.52%,3.38%,높음,8
천연종합비타민,130,"1,080",4,57.5,2.99%,5.47%,높음,8
칼슘유황비료,170,"1,030",1.5,51,0.96%,5.46%,높음,8
녹소토,180,"1,010",2.8,41.8,1.62%,4.59%,높음,8
엔진분무기,220,970,3,32.7,1.4%,3.79%,높음,10
거실화분선반,110,"1,080",2.5,46.5,2.3%,4.69%,높음,8
석분,480,700,3.8,18.3,0.79%,2.65%,높음,10
규산,230,950,0.4,8,0.17%,0.91%,높음,8
로즈마리화분,170,"1,010",2.1,27.8,1.25%,2.96%,높음,8
인삼벤자민,140,"1,020",0.9,18.3,0.67%,1.96%,높음,10
야채영양제,140,"1,020",1.5,30.8,1.08%,3.21%,높음,8
화분분갈이,280,870,0.9,12.8,0.33%,1.73%,높음,10
요소비료,240,910,2.4,24.4,0.98%,3.12%,높음,8
깻묵,190,950,1.3,14.1,0.64%,1.66%,중간,5
야외조명,300,830,8.6,16,2.92%,2.29%,높음,8
다육화분,100,"1,020",0.9,23.6,0.87%,2.83%,높음,8
제라늄삽목,80,"1,030",0.5,17.3,0.62%,1.77%,중간,8
금전수분갈이,120,980,0.4,14.8,0.33%,1.62%,높음,10
큰화분,150,950,3.1,22.8,2.1%,2.95%,높음,10
잔디씨앗,210,890,3.1,39.4,1.55%,6.47%,높음,8
삽목,260,840,0,0,-,-,낮음,0
실내정원,260,840,4.9,13.2,1.83%,1.78%,높음,10
모종삽,330,760,1.1,7.5,0.34%,1.05%,높음,8
킬레이트,270,810,1.8,5.8,0.68%,0.75%,중간,5
백자갈,290,790,5.5,18.3,1.88%,2.71%,높음,8
완효성비료,260,810,3.9,27.8,1.52%,3.66%,높음,8
오석,290,780,2,14.4,0.7%,1.94%,높음,10
꽃씨앗,160,910,9.4,75.8,6.09%,9.18%,높음,8
퇴비가격,100,960,2,34.8,1.92%,3.94%,높음,10
황산구리,250,810,1,7.3,0.4%,0.92%,높음,10
몬스테라분갈이,110,940,0.3,6.5,0.23%,0.75%,높음,8
상추키우기,300,750,1.7,18.4,0.58%,2.62%,높음,10
혼합,320,730,0.2,1,0.07%,0.15%,높음,9
현관콘솔,110,940,4.3,33.5,3.64%,3.9%,높음,8
다이소물조리개,140,910,0,0.3,-,0.04%,중간,3
팽창질석,550,490,7.3,8,1.35%,1.71%,중간,5
종묘사,210,830,10.1,25.2,4.79%,3.6%,높음,10
사각화분,180,860,2.1,14.6,1.16%,2.14%,높음,8
남성종합영양제,150,890,3.3,41.3,2.17%,4.71%,높음,8
왕산딸기묘목,110,920,4,39.8,3.91%,5.09%,중간,4
서랍화장대,100,930,1.9,14.3,1.81%,1.64%,높음,8
바질씨앗,150,870,1.1,25.3,0.8%,3.07%,높음,8
지베렐린,240,760,1.6,14.5,0.65%,2.26%,높음,10
충전분무기,300,700,3.4,21,1.13%,3.2%,높음,8
슬림화장대,120,880,1.6,17.5,1.29%,2.07%,높음,8
화분스탠드,160,830,0.6,8.5,0.41%,1.09%,높음,8
고압살수기,500,490,6.6,15.5,1.32%,3.37%,높음,8
식물인테리어,190,790,3.1,15.4,1.65%,2.23%,높음,10
지피펠렛,170,800,2.7,37,1.6%,4.82%,높음,8
눈개승마모종,110,860,3.7,70.8,3.79%,10.84%,높음,9
실내조경,450,520,18.3,31.8,3.99%,6.12%,높음,10
화분선반대,70,900,0.6,31.1,0.92%,3.9%,높음,8
엔진양수기,350,620,7.6,20.4,2.17%,3.63%,높음,10
대형화분받침대,70,900,0.5,7,0.73%,0.82%,높음,8
거실가구,180,790,4.4,26.5,2.49%,3.46%,높음,8
묘목시장,270,680,29.9,71.8,12.16%,12.54%,높음,10
에그스톤,240,710,3.6,21.3,1.47%,3.2%,높음,8
벽걸이화분,130,810,2.1,35.5,1.63%,4.65%,높음,8
남성종합비타민,170,770,1.5,21.5,0.9%,2.84%,높음,8
메네델,190,750,3.8,27,2.09%,3.77%,중간,7
나무묘목,230,700,20.6,37.6,9.63%,6.35%,높음,10
히아신스구근,140,790,1.3,22.5,0.89%,3.05%,높음,8
마닐라로프,390,540,10.3,12.6,2.61%,2.37%,높음,10
딸기씨앗,90,840,1.1,12,1.22%,1.64%,높음,10
고수씨앗,70,860,0.6,32.8,0.81%,4.17%,높음,8
상추씨앗,180,740,6.8,27.8,4%,4.43%,높음,8
자가품질검사,500,410,8.4,13,1.67%,3.12%,높음,10
바퀴화분받침대,50,860,0.6,5,1.18%,0.62%,높음,8
블루베리상토,180,720,4.1,39.5,2.48%,6.2%,높음,8
전기가위,190,710,0.5,18.5,0.27%,2.83%,높음,8
하이드로볼,200,690,3.4,13.5,1.74%,2.04%,높음,8
규사모래,220,670,5.6,14.5,2.57%,2.56%,높음,8
베란다화분선반,70,820,1.3,20.6,1.67%,3.3%,높음,8
화분분갈이방법,120,770,0.4,13.5,0.35%,1.9%,높음,10
무선전동가위,50,830,1.6,27.5,3.19%,3.91%,높음,8
백합구근,160,720,7,33.2,4.47%,5.47%,높음,10
물받침대,80,790,0.3,4.5,0.28%,0.6%,높음,8
개업화분추천,170,690,2.6,16.2,1.53%,2.37%,높음,10
물조루,230,630,0.1,8.8,0.06%,1.43%,높음,8
파키라화분,70,780,1.8,31.3,2.4%,4.15%,높음,8
호박돌,270,580,4.7,14.2,1.73%,2.69%,높음,10
원형화분받침대,40,810,1,5.8,2.09%,0.79%,높음,8
화분대,150,700,1.6,17,1.08%,2.65%,높음,8
히야신스구근,100,740,3.4,27.8,3.45%,4.1%,높음,8
거실콘솔,90,750,1.7,24,1.79%,3.44%,높음,10
NK비료,180,650,1.6,28,0.96%,5.29%,높음,8
모종파는곳,100,730,1.8,21.5,1.72%,3.4%,높음,8
트리코트,330,500,0.9,3.3,0.27%,0.66%,높음,8
이동식화분받침대,190,640,3.9,15,2.12%,2.54%,높음,8
화분물받침대,80,750,1,6.5,1.25%,0.92%,높음,8
화분지지대,110,720,1.9,26.1,1.64%,4.39%,높음,8
식물화분,110,710,0.8,8.8,0.67%,1.31%,높음,8
순환골재,600,220,3.4,2.8,0.57%,1.27%,높음,10
베란다화분걸이,90,720,0.1,16.3,0.14%,2.99%,높음,8
수경재배영양제,140,670,2.8,23.8,1.9%,3.73%,높음,8
수정토,150,650,1.7,15.8,1.15%,2.57%,중간,6
꽃모종,210,590,7.4,23.8,3.81%,4.55%,높음,8
화분갈이,80,710,1.1,12.6,1.28%,2.15%,높음,10
클레이코트,120,670,1.1,0.7,0.92%,0.11%,높음,3
황토길,180,610,3.2,8.9,1.74%,1.65%,높음,10
소형화분,180,600,3.1,14.3,1.76%,2.43%,높음,8
집에서키우는식물,70,710,0.6,16,0.81%,2.45%,높음,8
어항돌,120,660,1.1,13.8,0.96%,2.3%,높음,8
화산송이,140,640,1.5,10.3,1.08%,1.69%,높음,8
침봉,130,650,0.4,12.3,0.3%,1.98%,높음,8
스투키화분,130,640,1.4,14.3,0.99%,2.34%,높음,8
동력살분무기,370,400,4.4,17,1.17%,4.25%,높음,8
해바라기씨앗,130,640,1,11,0.83%,1.83%,높음,8
연꽃씨,50,720,0.8,16.8,1.45%,2.77%,높음,10
시멘트화분,150,610,2.5,2.3,1.59%,0.49%,높음,8
메소나,90,670,3.9,40,4.16%,6.23%,중간,5
콘솔수납장,110,650,2.4,9.8,2.14%,1.58%,높음,8
기도의자,100,660,4.1,46.5,4.05%,7.21%,높음,8
아폴로분무기,220,540,1.6,11.8,0.74%,2.38%,높음,8
강자갈,210,520,5.3,28.7,2.63%,6.16%,높음,10
돈들어오는화분,60,670,0.4,18.5,0.58%,2.88%,높음,8
질소비료,110,610,0.8,19.3,0.65%,3.37%,높음,8
부처꽃,150,570,0.3,6,0.22%,1.18%,높음,10
콩돌,160,550,0.8,8.3,0.47%,1.56%,높음,8
후쿠시아,80,630,1,14.8,1.27%,2.5%,중간,5
분무기스프레이,140,570,0.6,15.3,0.45%,2.78%,높음,8
메리골드씨앗,110,600,3.1,28.8,2.98%,5.08%,높음,8
다육이분갈이,70,630,0.4,16,0.56%,2.75%,높음,10
세척마사토,160,540,3.3,24.3,2.04%,4.68%,높음,8
잡석,310,390,5,8,1.61%,2.17%,높음,8
흙집,90,610,1.2,7.8,1.23%,1.49%,높음,10
버미큘라이트,140,560,1.1,22,0.77%,3.93%,중간,7
블루베리비료,140,560,4.9,36,3.78%,7.58%,높음,8
인산가리비료,90,610,3.3,36.1,3.43%,6.69%,높음,8
